model,problem,level,Average accuracy,Failure,weighted_accuracy,weighted_failed,complexity,lvl_correctness,is_close
Phi-1.5,tsp_d_Results,Lvl 1,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,tsp_d_Results,Lvl 2,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,tsp_d_Results,Lvl 3,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,tsp_d_Results,Lvl 4,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,tsp_d_Results,Lvl 5,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,tsp_d_Results,Lvl 6,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,tsp_d_Results,Lvl 7,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,tsp_d_Results,Lvl 8,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,tsp_d_Results,Lvl 9,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Phi-1.5,tsp_d_Results,Lvl 10,0.0,1.0,0.0,0.1,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,gcp_d_Results,Lvl 1,0.0,0.9,0.0,0.09,NP-Complete,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed', 'failed']",False
Vicuna-13b,gcp_d_Results,Lvl 2,0.0,0.9,0.0,0.09,NP-Complete,"[False, 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,gcp_d_Results,Lvl 3,0.2,0.5,0.01090909090909091,0.05,NP-Complete,"[True, False, False, True, False, 'failed', 'failed', 'failed', 'failed', 'failed']",False
Vicuna-13b,gcp_d_Results,Lvl 4,0.1,0.4,0.007272727272727273,0.04,NP-Complete,"[False, False, 'failed', True, 'failed', False, 'failed', 'failed', False, False]",False
Vicuna-13b,gcp_d_Results,Lvl 5,0.2,0.5,0.01818181818181818,0.05,NP-Complete,"[True, 'failed', False, 'failed', True, 'failed', False, 'failed', 'failed', False]",False
Vicuna-13b,gcp_d_Results,Lvl 6,0.2,0.5,0.02181818181818182,0.05,NP-Complete,"['failed', False, True, 'failed', 'failed', 'failed', True, False, False, 'failed']",False
Vicuna-13b,gcp_d_Results,Lvl 7,0.6,0.0,0.07636363636363637,0.0,NP-Complete,"[False, True, True, True, False, False, True, False, True, True]",False
Vicuna-13b,gcp_d_Results,Lvl 8,0.5,0.1,0.07272727272727272,0.01,NP-Complete,"[True, False, True, True, False, False, True, True, False, 'failed']",False
Vicuna-13b,gcp_d_Results,Lvl 9,0.5,0.4,0.08181818181818182,0.04,NP-Complete,"[True, 'failed', 'failed', 'failed', False, True, True, 'failed', True, True]",False
Vicuna-13b,gcp_d_Results,Lvl 10,0.3,0.5,0.05454545454545454,0.05,NP-Complete,"['failed', True, False, False, 'failed', 'failed', 'failed', True, 'failed', True]",False
Mistral-7b,gcp_d_Results,Lvl 1,0.9,0.0,0.016363636363636365,0.0,NP-Complete,"[True, False, True, True, True, True, True, True, True, True]",False
Mistral-7b,gcp_d_Results,Lvl 2,0.4,0.0,0.014545454545454545,0.0,NP-Complete,"[False, False, True, False, True, False, False, False, True, True]",False
Mistral-7b,gcp_d_Results,Lvl 3,0.5,0.4,0.02727272727272727,0.04,NP-Complete,"[True, 'failed', True, True, 'failed', True, True, False, 'failed', 'failed']",False
Mistral-7b,gcp_d_Results,Lvl 4,0.4,0.1,0.02909090909090909,0.01,NP-Complete,"[False, False, False, True, 'failed', True, False, True, True, False]",False
Mistral-7b,gcp_d_Results,Lvl 5,0.5,0.1,0.045454545454545456,0.01,NP-Complete,"[False, True, True, True, False, True, 'failed', False, True, False]",False
Mistral-7b,gcp_d_Results,Lvl 6,0.5,0.1,0.05454545454545454,0.01,NP-Complete,"[False, True, True, True, 'failed', False, True, True, False, False]",False
Mistral-7b,gcp_d_Results,Lvl 7,0.8,0.0,0.10181818181818182,0.0,NP-Complete,"[True, True, True, True, True, False, True, False, True, True]",False
