,model,problem,level,Average accuracy,Failure,difference,weighted_accuracy,weighted_failed,lvl_correctness,is_close
0,GPT 4 Turbo,edpResults,1,0.9,0.0,5,0.016363636363636365,0.0,"[True, True, True, False, True, True, True, True, True, True]",True
1,GPT 4 Turbo,edpResults,2,0.8,0.0,5,0.02909090909090909,0.0,"[True, False, True, False, True, True, True, True, True, True]",True
2,GPT 4 Turbo,edpResults,3,0.7,0.0,5,0.03818181818181818,0.0,"[True, False, True, True, True, True, False, True, True, False]",True
3,GPT 4 Turbo,edpResults,4,0.7,0.0,5,0.050909090909090904,0.0,"[False, True, True, True, False, True, True, True, False, True]",True
4,GPT 4 Turbo,edpResults,5,0.7,0.0,5,0.06363636363636363,0.0,"[True, True, True, True, True, True, False, False, False, True]",True
5,GPT 4 Turbo,edpResults,6,0.6,0.0,5,0.06545454545454545,0.0,"[False, True, True, False, False, True, True, True, False, True]",True
6,GPT 4 Turbo,edpResults,7,0.4,0.0,5,0.05090909090909091,0.0,"[False, False, True, False, False, True, True, False, False, True]",True
7,GPT 4 Turbo,edpResults,8,0.3,0.0,5,0.04363636363636363,0.0,"[True, False, True, False, False, False, False, False, False, True]",True
8,GPT 4 Turbo,edpResults,9,0.5,0.0,5,0.08181818181818182,0.0,"[True, False, True, True, True, False, True, False, False, False]",True
9,GPT 4 Turbo,edpResults,10,0.5,0.0,5,0.09090909090909091,0.0,"[False, False, False, True, True, True, False, True, False, True]",True
0,GPT 4 Turbo,edpResults,6,0.4,0.0,-5,0.06000000000000001,0.0,"[False, False, True, False, False, True, True, False, False, True]",True
1,GPT 4 Turbo,edpResults,7,0.3,0.0,-5,0.052500000000000005,0.0,"[False, False, True, False, False, False, True, False, False, True]",True
2,GPT 4 Turbo,edpResults,8,0.3,0.0,-5,0.06,0.0,"[True, False, True, False, False, False, False, False, False, True]",True
3,GPT 4 Turbo,edpResults,9,0.4,0.0,-5,0.09,0.0,"[True, True, False, False, False, False, False, True, False, True]",True
4,GPT 4 Turbo,edpResults,10,0.5,0.0,-5,0.125,0.0,"[False, False, False, True, True, True, False, True, False, True]",True
0,PaLM 2,edpResults,1,0.4,0.0,5,0.007272727272727273,0.0,"[True, False, True, False, True, True, False, False, False, False]",True
1,PaLM 2,edpResults,2,0.0,0.0,5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
2,PaLM 2,edpResults,3,0.1,0.0,5,0.005454545454545455,0.0,"[False, False, False, True, False, False, False, False, False, False]",True
3,PaLM 2,edpResults,4,0.0,0.0,5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
4,PaLM 2,edpResults,5,0.1,0.0,5,0.00909090909090909,0.0,"[False, False, False, False, False, False, False, True, False, False]",True
5,PaLM 2,edpResults,6,0.0,0.0,5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
6,PaLM 2,edpResults,7,0.0,0.0,5,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
7,PaLM 2,edpResults,8,0.2,0.0,5,0.02909090909090909,0.0,"[True, False, True, False, False, False, False, False, False, False]",True
8,PaLM 2,edpResults,9,0.6,0.0,5,0.09818181818181818,0.0,"[True, False, True, True, True, False, False, True, True, False]",True
9,PaLM 2,edpResults,10,0.1,0.0,5,0.01818181818181818,0.0,"[False, False, False, False, False, False, True, False, False, False]",True
0,PaLM 2,edpResults,5,0.1,0.0,-4,0.011111111111111112,0.0,"[False, False, False, False, False, False, False, False, True, False]",True
1,PaLM 2,edpResults,6,0.5,0.0,-4,0.06666666666666667,0.0,"[True, False, True, False, True, False, False, True, False, True]",True
2,PaLM 2,edpResults,7,0.0,0.0,-4,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
3,PaLM 2,edpResults,8,0.0,0.9,-4,0.0,0.15,"['failed', 'failed', 'failed', 'failed', 'failed', 'failed', 'failed', False, 'failed', 'failed']",True
4,PaLM 2,edpResults,9,0.2,0.0,-4,0.04,0.0,"[False, False, False, False, False, False, False, False, True, True]",True
5,PaLM 2,edpResults,10,0.4,0.0,-4,0.08888888888888889,0.0,"[False, True, False, True, False, True, False, False, False, True]",True
0,Claude 2,edpResults,2,0.5,0.0,-1,0.018518518518518517,0.0,"[False, True, False, True, False, True, True, False, True, False]",True
1,Claude 2,edpResults,3,0.4,0.0,-1,0.022222222222222227,0.0,"[True, True, False, False, False, False, False, False, True, True]",True
2,Claude 2,edpResults,4,0.2,0.0,-1,0.014814814814814815,0.0,"[False, False, True, False, False, False, False, True, False, False]",True
3,Claude 2,edpResults,5,0.2,0.0,-1,0.018518518518518517,0.0,"[False, False, True, False, True, False, False, False, False, False]",True
4,Claude 2,edpResults,6,0.2,0.0,-1,0.022222222222222227,0.0,"[False, False, False, False, False, False, True, False, False, True]",True
5,Claude 2,edpResults,7,0.3,0.0,-1,0.03888888888888889,0.0,"[False, False, False, True, True, False, False, True, False, False]",True
6,Claude 2,edpResults,8,0.1,0.1,-1,0.014814814814814815,0.011111111111111112,"[False, 'failed', True, False, False, False, False, False, False, False]",True
7,Claude 2,edpResults,9,0.3,0.0,-1,0.049999999999999996,0.0,"[False, False, True, False, False, False, False, True, True, False]",True
8,Claude 2,edpResults,10,0.0,0.0,-1,0.0,0.0,"[False, False, False, False, False, False, False, False, False, False]",True
0,Claude Instant,edpResults,1,0.6,0.1,4,0.010909090909090908,0.01,"[True, True, True, False, 'failed', True, True, False, False, True]",True
1,Claude Instant,edpResults,2,0.3,0.1,4,0.010909090909090908,0.01,"[True, False, False, False, False, False, True, True, False, 'failed']",True
2,Claude Instant,edpResults,3,0.3,0.0,4,0.01636363636363636,0.0,"[True, False, False, True, False, False, False, True, False, False]",True
3,Claude Instant,edpResults,4,0.5,0.0,4,0.03636363636363636,0.0,"[True, True, True, False, True, False, False, True, False, False]",True
4,Claude Instant,edpResults,5,0.3,0.0,4,0.02727272727272727,0.0,"[False, True, False, True, True, False, False, False, False, False]",True
5,Claude Instant,edpResults,6,0.4,0.0,4,0.04363636363636364,0.0,"[True, True, False, False, False, False, True, True, False, False]",True
6,Claude Instant,edpResults,7,0.5,0.1,4,0.06363636363636363,0.01,"[False, False, True, True, False, True, False, True, True, 'failed']",True
7,Claude Instant,edpResults,8,0.2,0.0,4,0.02909090909090909,0.0,"[False, False, True, False, False, False, True, False, False, False]",True
8,Claude Instant,edpResults,9,0.3,0.0,4,0.04909090909090909,0.0,"[False, False, False, False, False, False, True, True, False, True]",True
9,Claude Instant,edpResults,10,0.1,0.0,4,0.01818181818181818,0.0,"[False, False, False, False, False, False, False, False, True, False]",True
